MANDT	EBELN	EBELP	BEDAT	WERKS	LIFNR	MATNR	MATKL	MENGE	MEINS	NETPR	WAERS	BWART	KOSTL	BUKRS	TXZ01
100	4500012301	00010	20240103	WRK1	0000100452	MAT-DIESEL-001	ROH	5000.000	L	89.50	INR	101	COST-UTIL	1000	Diesel HSD (High Speed)
100	4500012301	00020	20240103	WRK1	0000100452	MAT-DIESEL-001	ROH	3200.000	L	89.50	INR	101	COST-UTIL	1000	Diesel HSD (High Speed)
100	4500012318	00010	03.01.2024	WRK2	0000100789	MAT-PETROL-002	ROH	1200.000	LTR	96.20	INR	101	COST-FLEET	1000	Petrol unleaded 91 RON
100	4500012345	00010	2024-01-08	WRK3	0000101234	MAT-PNG-003	ROH	420.000	M3	42.80	INR	101	COST-UTIL	1000	Piped Natural Gas
100	4500012345	00020	2024-01-08	WRK3	0000101234	MAT-PNG-003	ROH	380.500	M3	42.80	INR	101	COST-UTIL	1000	Piped Natural Gas
100	4500012367	00010	08/01/2024	WRK1	0000100452	MAT-DIESEL-001	ROH	8000.000	L	88.75	INR	101	COST-UTIL	1000	Diesel HSD (High Speed)
100	4500012380	00010	20240115	WRK4	0000102100	MAT-LUBEOIL-004	ROH	200.000	KG	310.00	INR	101	COST-MAINT	1000	Lubricating Oil SAE 40
100	4500012395	00010	15.01.2024	WRK2	0000100789	MAT-PETROL-002	ROH	950.000	LTR	96.80	INR	101	COST-FLEET	1000	Petrol unleaded 91 RON
100	4500012410	00010	2024-01-18	WRK5	0000103001	MAT-FURNACEOIL-005	ROH	12000.000	L	68.40	INR	101	COST-UTIL	1000	Furnace Oil FO-180
100	4500012410	00020	2024-01-18	WRK5	0000103001	MAT-FURNACEOIL-005	ROH	8500.000	KG	0.00	INR	101	COST-UTIL	1000	Furnace Oil FO-180
100	4500012422	00010	18/01/2024	WRK1	0000100452	MAT-DIESEL-001	ROH	6200.000	L	89.10	INR	101	COST-UTIL	1000	Diesel HSD (High Speed)
100	4500012435	00010	20240122	WRK6	0000104500	MAT-LPG-006	ROH	500.000	KG	105.00	INR	101	COST-UTIL	2000	LPG Cooking/Heating
100	4500012435	00020	22.01.2024	WRK6	0000104500	MAT-LPG-006	ROH	300.000	KG	105.00	INR	101	COST-UTIL	2000	LPG Cooking/Heating
100	4500012448	00010	2024-01-25	WRK3	0000101234	MAT-PNG-003	ROH		M3	42.90	INR	101	COST-UTIL	1000	Piped Natural Gas
100	4500012460	00010	25/01/2024	WRK2	0000100789	MAT-DIESEL-001	ROH	2100.000	LTR	89.30	INR	101	COST-FLEET	1000	Diesel HSD (High Speed)
100	4500012475	00010	20240201	WRK4	0000102100	MAT-LUBEOIL-004	ROH	150.000	KG	312.00	INR	101	COST-MAINT	1000	Lubricating Oil SAE 40
100	4500012488	00010	01.02.2024	WRK7	0000105000	MAT-COALBIT-007	ROH	50000.000	KG	15.20	INR	101	COST-UTIL	2000	Bituminous Coal Grade B
100	4500012488	00020	2024-02-01	WRK7	0000105000	MAT-COALBIT-007	ROH	45000.000	KG	15.20	INR	101	COST-UTIL	2000	Bituminous Coal Grade B
100	4500012500	00010	01/02/2024	WRK1	0000100452	MAT-DIESEL-001	ROH	7500.000	L	90.10	INR	101	COST-UTIL	1000	Diesel HSD (High Speed)
100	4500012513	00010	20240205	WRK5	0000103001	MAT-FURNACEOIL-005	ROH	15000.000	L	68.90	INR	101	COST-UTIL	1000	Furnace Oil FO-180
100	4500012525	00010	05.02.2024	WRK6	0000104500	MAT-LPG-006	ROH	450.000	KG	106.50	INR	101	COST-UTIL	2000	LPG Cooking/Heating
100	4500012538	00010	2024-02-08	WRK3	0000101234	MAT-PNG-003	ROH	510.000	M3	43.10	INR	101	COST-UTIL	1000	Piped Natural Gas
100	4500012550	00010	08/02/2024	WRK8	0000106200	MAT-DIESEL-001	ROH	3300.000	L	89.60	INR	101	COST-GEND	1000	Diesel HSD (High Speed)
100	4500012563	00010	20240212	WRK2	0000100789	MAT-PETROL-002	ROH	1100.000	LTR	97.00	INR	101	COST-FLEET	1000	Petrol unleaded 91 RON
100	4500012576	00010	12.02.2024	WRK9	0000107000	MAT-DIESEL-001	ROH	4400.000	L	88.90	INR	101	COST-UTIL	3000	Diesel HSD (High Speed)
100	4500012589	00010	2024-02-15	WRK1	0000100452	MAT-DIESEL-001	ROH	5800.000	L	89.80	INR	101	COST-UTIL	1000	Diesel HSD (High Speed)
100	4500012600	00010	15/02/2024	WRK7	0000105000	MAT-COALBIT-007	ROH	60000.000	KG	15.40	INR	101	COST-UTIL	2000	Bituminous Coal Grade B
100	4500012612	00010	20240219	WRK4	0000102100	MAT-LUBEOIL-004	ROH	180.000	KG	315.00	INR	101	COST-MAINT	1000	Lubricating Oil SAE 40
100	4500012625	00010	19.02.2024	WRK5	0000103001	MAT-FURNACEOIL-005	ROH	11000.000	KG	0.00	INR	101	COST-UTIL	1000	Furnace Oil FO-180
100	4500012638	00010	2024-02-22	WRK6	0000104500	MAT-LPG-006	ROH	600.000	KG	106.00	INR	101	COST-UTIL	2000	LPG Cooking/Heating
100	4500012650	00010	22/02/2024	WRK3	0000101234	MAT-PNG-003	ROH	490.000	M3	43.20	INR	101	COST-UTIL	1000	Piped Natural Gas
