iata_code,name,latitude,longitude
BLR,Kempegowda International Airport Bengaluru,13.1979,77.7063
BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,19.0896,72.8656
DEL,Indira Gandhi International Airport New Delhi,28.5562,77.1000
SIN,Singapore Changi Airport,1.3644,103.9915
LHR,London Heathrow Airport,51.4775,-0.4614
HYD,Rajiv Gandhi International Airport Hyderabad,17.2403,78.4294
COK,Cochin International Airport Kochi,10.1520,76.4019
MAA,Chennai International Airport,12.9900,80.1693
NAG,Dr. Babasaheb Ambedkar International Airport Nagpur,21.0922,79.0472
RPR,Swami Vivekananda Airport Raipur,21.1804,81.7388
AMD,Sardar Vallabhbhai Patel International Airport Ahmedabad,23.0772,72.6347
CCU,Netaji Subhas Chandra Bose International Airport Kolkata,22.6547,88.4467
PNQ,Pune Airport,18.5822,73.9197
